title,date,url,hotfix_counter,ranked_or_progression_changed,matchmaking_changed,new_mode,mode_removed,mode_changes,battlepass_or_event_added,cosmetics_added,new_map_or_variation,map_changes,modifiers_or_destruction_changes,bug_fixes,servers_changed,qol_additions,optimization_changes,buffs,nerfs,weapon_gadget_spec_added,gameplay_changes,weapon_gadget_spec_removed
Store Update 9.14.0,2026-03-19,https://www.reachthefinals.com/patchnotes/9140,,,,,,,,1,,,,,,,,,,,,
Store Update 9.13.0,2026-03-12,https://www.reachthefinals.com/patchnotes/9130,,,,,,,,1,,,,,,,,,,,,
Update 9.12.0,2026-03-05,https://www.reachthefinals.com/patchnotes/9120,1,1,,,1,3,,1,,2,,8,1,1,1,,,,,
Store Update 9.11.0,2026-02-26,https://www.reachthefinals.com/patchnotes/9110,,,,,,,,1,,,,,,,,,,,,
Store Update 9.10.0,2026-02-19,https://www.reachthefinals.com/patchnotes/9100,,,,,,,,1,,,,,,,,,,,,
Update 9.9.0,2026-02-12,https://www.reachthefinals.com/patchnotes/990,1,,1,1,1,2,1,1,1,4,5,65,,2,14,3,11,,1,
Update 9.8.0,2026-02-05,https://www.reachthefinals.com/patchnotes/980,1,,,1,,,1,1,,,,1,,,,,,,,
Update 9.7.0,2026-01-29,https://www.reachthefinals.com/patchnotes/970,,,,,,2,,1,,4,1,44,,3,13,8,3,,4,
Store Update 9.6.0,2026-01-22,https://www.reachthefinals.com/patchnotes/960,,,1,,,,,1,,,,,,,,,,,,
Update 9.5.0,2026-01-15,https://www.reachthefinals.com/patchnotes/950,,,,,1,,,1,,,1,7,,,,,,,,
Update 9.4.0,2026-01-08,https://www.reachthefinals.com/patchnotes/940,,,,,,2,,1,,13,1,61,1,8,27,5,5,,5,
Store Update 9.3.0,2026-01-02,https://www.reachthefinals.com/patchnotes/930,,,,,,,,1,,,,,,,,,,,,
Update 9.2.0,2025-12-25,https://www.reachthefinals.com/patchnotes/920,,,,1,,,1,1,,,,,,,,,,,,
Update 9.1.0,2025-12-18,https://www.reachthefinals.com/patchnotes/910,1,,,,,2,,1,1,,,25,,,3,,1,,,
SEASON 9 | Dragon rising,2025-12-10,https://www.reachthefinals.com/patchnotes/900,,1,1,1,1,3,1,1,1,6,4,85,,17,16,21,13,,4,
Update 8.12.0,2025-12-04,https://www.reachthefinals.com/patchnotes/8120,,,,,,,,1,,,,,,,,,,,,
Update 8.11.0,2025-11-27,https://www.reachthefinals.com/patchnotes/8110,,,,,,,,1,,,1,,,,,,,,,
STORE Update 8.10.0,2025-11-20,https://www.reachthefinals.com/patchnotes/8100,,,,,,,,1,,,,,,,,,,,,
Update 8.9.0,2025-11-13,https://www.reachthefinals.com/patchnotes/890,,1,,1,,,1,1,,1,1,46,,12,18,,,,,
Update 8.8.0,2025-11-06,https://www.reachthefinals.com/patchnotes/880,,,,,1,1,,1,,,,2,1,,,,,,,
Update 8.7.0,2025-10-30,https://www.reachthefinals.com/patchnotes/870,,,,,,,,1,,,,1,,,,,,,,
MIDSEASON Update 8.6.0,2025-10-23,https://www.reachthefinals.com/patchnotes/860,1,,,1,,4,1,1,,7,,34,,7,11,,,,2,
Update 8.5.0,2025-10-16,https://www.reachthefinals.com/patchnotes/850,,,,,1,,,1,,,1,,,,,,,,,
Update 8.4.0,2025-10-09,https://www.reachthefinals.com/patchnotes/840,,,,,,,,1,1,,,1,,,,,,,,
Update 8.3.0,2025-10-02,https://www.reachthefinals.com/patchnotes/830,1,,,1,,1,1,1,,12,1,56,,5,9,2,3,,4,
Update 8.2.0,2025-09-25,https://www.reachthefinals.com/patchnotes/820,,,,,,,,1,,,1,,,,,,,,,
Update 8.1.0,2025-09-18,https://www.reachthefinals.com/patchnotes/810,,,,,,,,1,,,,3,,,1,,,,,
SEASON 8 | GAME TIME,2025-09-10,https://www.reachthefinals.com/patchnotes/800,1,1,1,1,2,1,1,1,,29,7,44,,19,7,8,16,2,17,1
Store Update 7.12.0,2025-09-04,https://www.reachthefinals.com/patchnotes/7120,,,,,,1,,1,,,1,,,,,,,,,
Store Update 7.11.0,2025-08-28,https://www.reachthefinals.com/patchnotes/7110,,,,,,,,1,,,,,,,,,,,,
Store Update 7.10.0,2025-08-21,https://www.reachthefinals.com/patchnotes/7100,,,,,,1,,1,,,,,,,,,,,,
Update 7.9.0,2025-08-14,https://www.reachthefinals.com/patchnotes/790,2,1,,1,,2,1,1,,3,2,40,,3,6,5,2,,,
Update 7.8.0,2025-08-07,https://www.reachthefinals.com/patchnotes/780,,,,,1,1,,1,,,,,,,,,,,,
Update 7.7.0,2025-07-31,https://www.reachthefinals.com/patchnotes/770,,,,,,,,1,,,,1,,1,,,,,,
Midseason Update 7.6.0,2025-07-24,https://www.reachthefinals.com/patchnotes/760,,,1,1,,1,1,1,1,2,1,29,1,1,6,22,4,,7,
Update 7.5.0,2025-07-17,https://www.reachthefinals.com/patchnotes/750,,,,,1,,,1,,,1,,,,,,,,,
Store Update 7.4.0,2025-07-10,https://www.reachthefinals.com/patchnotes/740,,,,,,,,1,,,,,,,,,,,,
